Date,Open,High,Low,Close,Adj Close,Volume
2020-12-15,34600.000000,34700.000000,34050.000000,34300.000000,33409.089844,294234
2020-12-16,34400.000000,34550.000000,34150.000000,34400.000000,33506.492188,226341
2020-12-17,34600.000000,34850.000000,34400.000000,34550.000000,33652.597656,222797
2020-12-18,34550.000000,34650.000000,34200.000000,34550.000000,33652.597656,247242
2020-12-21,34750.000000,34800.000000,34350.000000,34600.000000,33701.296875,245730
2020-12-22,34550.000000,34550.000000,34100.000000,34100.000000,33214.285156,261097
2020-12-23,34150.000000,34250.000000,33800.000000,34100.000000,33214.285156,198266
2020-12-24,34300.000000,34500.000000,34050.000000,34450.000000,33555.195313,211151
2020-12-28,34650.000000,34850.000000,34500.000000,34650.000000,33750.000000,296896
2020-12-29,34400.000000,34450.000000,34150.000000,34350.000000,34350.000000,237555
2020-12-30,34350.000000,34450.000000,34200.000000,34450.000000,34450.000000,208554
2021-01-04,34500.000000,34550.000000,34150.000000,34400.000000,34400.000000,320189
2021-01-05,34400.000000,35250.000000,34400.000000,35200.000000,35200.000000,619335
2021-01-06,35700.000000,36150.000000,35000.000000,35200.000000,35200.000000,565176
2021-01-07,35350.000000,36100.000000,35300.000000,35550.000000,35550.000000,517897
2021-01-08,36150.000000,36400.000000,35600.000000,36250.000000,36250.000000,691255
2021-01-11,36500.000000,36500.000000,35400.000000,36250.000000,36250.000000,626405
2021-01-12,36000.000000,37400.000000,35600.000000,36150.000000,36150.000000,641386
2021-01-13,36650.000000,37000.000000,36200.000000,37000.000000,37000.000000,476599
2021-01-14,37050.000000,37200.000000,36500.000000,36600.000000,36600.000000,323102
2021-01-15,36800.000000,36800.000000,35700.000000,35700.000000,35700.000000,320594
2021-01-18,35550.000000,35550.000000,34700.000000,34850.000000,34850.000000,369612
2021-01-19,34850.000000,35500.000000,34800.000000,35250.000000,35250.000000,249693
2021-01-20,35300.000000,35300.000000,34900.000000,35000.000000,35000.000000,257149
2021-01-21,35150.000000,35400.000000,34900.000000,35150.000000,35150.000000,412738
2021-01-22,35300.000000,36150.000000,35150.000000,35800.000000,35800.000000,490053
2021-01-25,36050.000000,36500.000000,35950.000000,36450.000000,36450.000000,386906
2021-01-26,36550.000000,36550.000000,35900.000000,36050.000000,36050.000000,326436
2021-01-27,36100.000000,36400.000000,35750.000000,35900.000000,35900.000000,275997
2021-01-28,35550.000000,35600.000000,35000.000000,35450.000000,35450.000000,284943
2021-01-29,35500.000000,35600.000000,34500.000000,34700.000000,34700.000000,463524
2021-02-01,34300.000000,35200.000000,34150.000000,35100.000000,35100.000000,250688
2021-02-02,35100.000000,35250.000000,34650.000000,34800.000000,34800.000000,379052
2021-02-03,34900.000000,35050.000000,34400.000000,34450.000000,34450.000000,329038
2021-02-04,34600.000000,34600.000000,34150.000000,34250.000000,34250.000000,316159
2021-02-05,34450.000000,34800.000000,34200.000000,34750.000000,34750.000000,216741
2021-02-08,35050.000000,36000.000000,34850.000000,35950.000000,35950.000000,636735
2021-02-09,36100.000000,36300.000000,35500.000000,36150.000000,36150.000000,506602
2021-02-10,36350.000000,36400.000000,35750.000000,35750.000000,35750.000000,340028
2021-02-15,35800.000000,36200.000000,35550.000000,35550.000000,35550.000000,305595
2021-02-16,35550.000000,35900.000000,35200.000000,35700.000000,35700.000000,226500
2021-02-17,35850.000000,36200.000000,35400.000000,36050.000000,36050.000000,290748
2021-02-18,36000.000000,36200.000000,35500.000000,35600.000000,35600.000000,292770
2021-02-19,35550.000000,35700.000000,34700.000000,35050.000000,35050.000000,202700
2021-02-22,35100.000000,35700.000000,35100.000000,35300.000000,35300.000000,206330
2021-02-23,35300.000000,36200.000000,35150.000000,35900.000000,35900.000000,552377
2021-02-24,36150.000000,36150.000000,35000.000000,35150.000000,35150.000000,326357
2021-02-25,35600.000000,36300.000000,35350.000000,36300.000000,36300.000000,429195
2021-02-26,35200.000000,36200.000000,35200.000000,36200.000000,36200.000000,451627
2021-03-02,36550.000000,36600.000000,35550.000000,35900.000000,35900.000000,305725
2021-03-03,35800.000000,37400.000000,35550.000000,37400.000000,37400.000000,777888
2021-03-04,37000.000000,38300.000000,36850.000000,37450.000000,37450.000000,649735
2021-03-05,37050.000000,38000.000000,36900.000000,37350.000000,37350.000000,374191
2021-03-08,37650.000000,37750.000000,37000.000000,37200.000000,37200.000000,273131
2021-03-09,37550.000000,37650.000000,36300.000000,37200.000000,37200.000000,378504
2021-03-10,37200.000000,37250.000000,36300.000000,36650.000000,36650.000000,256849
