Date,Open,High,Low,Close,Adj Close,Volume
2021-02-10,166000.000000,171500.000000,164000.000000,170500.000000,170500.000000,41374
2021-02-15,172000.000000,177500.000000,169500.000000,177500.000000,177500.000000,182653
2021-02-16,174000.000000,177500.000000,171000.000000,174500.000000,174500.000000,39060
2021-02-17,171000.000000,173500.000000,165000.000000,166500.000000,166500.000000,43092
2021-02-18,166500.000000,169000.000000,165000.000000,165500.000000,165500.000000,25662
2021-02-19,162000.000000,166500.000000,159500.000000,163000.000000,163000.000000,36630
2021-02-22,163000.000000,167000.000000,162500.000000,167000.000000,167000.000000,21445
2021-02-23,165500.000000,166500.000000,161000.000000,166500.000000,166500.000000,27910
2021-02-24,165500.000000,166500.000000,158500.000000,159500.000000,159500.000000,45652
2021-02-25,159000.000000,163500.000000,158500.000000,162000.000000,162000.000000,37059
2021-02-26,159000.000000,161000.000000,155000.000000,159000.000000,159000.000000,53045
2021-03-02,159500.000000,163000.000000,155500.000000,159000.000000,159000.000000,33430
2021-03-03,159000.000000,171000.000000,157500.000000,169500.000000,169500.000000,59126
2021-03-04,164000.000000,169000.000000,163000.000000,166000.000000,166000.000000,35476
2021-03-05,166000.000000,168000.000000,161500.000000,168000.000000,168000.000000,37860
2021-03-08,166500.000000,171000.000000,165000.000000,167000.000000,167000.000000,25929
2021-03-09,169500.000000,179500.000000,167500.000000,173500.000000,173500.000000,102861
2021-03-10,175500.000000,176000.000000,166000.000000,171000.000000,171000.000000,40567
